# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_myChunk[1] c_myChunk[2] c_myChunk[3] c_myChunk[4]
10000 729
354 9.25465 1.01956 10.7233 20.9975
355 29.4355 1.57214 3.33155 34.3392
356 1.04182 8.51502 13.1747 22.7316
357 2.49183 7.50381 3.88131 13.877
358 4.20182 18.6698 27.4017 50.2733
359 0.781146 1.43571 1.87488 4.09173
360 2.36057 20.2651 29.2204 51.846
361 0.867748 7.96083 9.54035 18.3689
362 1.19566 1.82409 18.3016 21.3213
363 0.365883 8.86315 10.27 19.4991
364 8.44959 6.29632 0.777803 15.5237
365 2.30248 10.9501 10.407 23.6596
366 18.84 12.2166 6.58749 37.6441
367 5.18524 1.8207 4.54462 11.5506
368 13.8804 17.0867 2.26472 33.2319
369 3.74447 4.02662 6.30747 14.0786
370 2.45114 4.68651 3.90487 11.0425
371 3.47094 35.1579 7.99058 46.6194
372 1.11768 1.93763 4.67233 7.72765
373 37.0383 4.02771 16.5865 57.6525
374 16.9021 1.65245 2.6309 21.1854
375 4.80854 37.8608 6.10386 48.7732
376 3.41126 22.8824 4.98138 31.275
377 5.28279 1.06598 12.1299 18.4787
378 3.57894 11.1662 5.37197 20.1172
379 1.11654 2.16183 0.939944 4.21831
380 0.498848 13.5634 13.8458 27.9081
381 12.0736 4.06141 0.528093 16.6631
382 3.70374 1.61894 3.16761 8.49029
383 9.27298 3.20903 12.2246 24.7066
384 12.9161 1.61562 4.15414 18.6859
385 15.5333 12.2793 22.7601 50.5726
386 7.65934 2.58731 6.46854 16.7152
387 0.635361 2.91045 7.37895 10.9248
388 3.60461 7.27217 10.0447 20.9215
389 1.35878 2.82545 22.1138 26.298
390 2.23725 2.13166 1.03168 5.4006
391 3.2036 4.49911 2.15232 9.85504
392 25.2176 5.7276 5.20901 36.1542
393 2.66657 1.25378 32.3909 36.3112
394 4.96833 3.67743 6.70161 15.3474
395 6.42534 3.25849 17.2368 26.9206
396 1.01734 4.17837 3.53168 8.72738
397 9.3073 45.9626 7.02614 62.2961
398 7.82908 25.9931 10.8877 44.7099
399 3.49118 1.2925 4.44368 9.22736
400 4.90961 14.1051 12.6204 31.6351
401 7.07903 4.17982 4.74057 15.9994
402 3.51624 3.83741 1.16905 8.5227
403 5.37609 0.55479 1.65587 7.58675
404 2.59802 25.1893 13.6236 41.411
405 2.22421 21.0478 15.5619 38.8339
406 2.59202 15.5063 10.1608 28.2592
407 0.786388 4.78097 6.05535 11.6227
408 22.5384 7.33636 2.60424 32.479
409 5.04407 7.10815 63.4391 75.5913
410 14.8537 4.14671 5.66245 24.6629
411 5.9949 18.2333 15.1189 39.3471
412 1.48432 1.25516 2.61975 5.35923
413 28.2597 1.64759 9.15674 39.0641
414 38.4021 9.72005 3.50173 51.6239
415 1.95348 7.81436 27.6934 37.4612
416 3.72673 27.4345 3.36941 34.5306
417 1.66262 27.9871 15.6284 45.2781
418 15.2579 11.9411 1.02468 28.2236
419 5.9502 31.8369 57.8997 95.6867
420 2.11492 2.87812 0.841159 5.8342
421 4.06622 9.13384 1.61463 14.8147
422 19.0823 1.54281 3.62353 24.2486
423 20.2357 1.04469 2.07723 23.3577
424 3.60935 14.7437 1.09007 19.4431
425 1.61693 5.52473 3.67319 10.8148
426 7.38918 2.30343 3.77161 13.4642
427 24.8599 0.411251 19.6056 44.8767
428 1.32793 1.12727 13.8102 16.2654
429 3.77829 1.41266 8.42052 13.6115
430 0.770205 5.10373 2.95567 8.82961
431 4.84312 9.99038 2.70228 17.5358
432 1.91353 1.93117 2.77604 6.62074
433 1.58126 3.92776 8.67019 14.1792
434 3.13885 26.1471 1.64361 30.9295
435 1.16205 17.7871 5.18992 24.139
436 4.2856 2.36449 6.3489 12.999
437 3.47923 21.4576 0.878926 25.8158
438 36.2774 27.2987 7.6554 71.2315
439 3.9773 10.2377 14.4114 28.6264
440 28.402 0.973495 9.15517 38.5307
441 11.7796 6.58658 9.73117 28.0973
442 9.61746 1.1993 10.5216 21.3383
443 4.99992 3.88719 6.65941 15.5465
444 10.1959 2.31816 10.6402 23.1543
445 8.16721 1.84444 11.1447 21.1563
446 6.26807 32.0357 8.16308 46.4668
447 24.4495 1.45992 5.32121 31.2306
448 0.362413 30.6173 3.03186 34.0116
449 2.08222 7.29462 14.5135 23.8903
450 1.46948 7.9538 4.4162 13.8395
451 11.3684 10.9366 36.712 59.017
452 4.18162 4.75438 2.09559 11.0316
453 1.77101 3.04257 1.56506 6.37864
454 0.575171 0.489505 31.0677 32.1324
455 15.3954 2.34845 5.65181 23.3957
456 4.0417 1.82235 1.10376 6.9678
457 1.80957 8.09101 10.8473 20.7479
458 4.46039 4.08503 1.96949 10.5149
459 2.06084 9.04481 3.99697 15.1026
460 0.980945 1.4296 13.7519 16.1624
461 2.21606 2.88843 17.93 23.0345
462 0.860508 14.3013 0.915425 16.0773
463 5.17382 3.31725 8.64838 17.1394
464 5.75663 5.75383 0.441263 11.9517
465 1.50157 7.18408 7.77629 16.4619
466 5.83487 15.8099 3.71183 25.3566
467 4.8878 15.0853 5.36203 25.3351
468 5.77008 5.38381 0.863168 12.0171
469 9.60887 1.16068 6.57795 17.3475
470 3.02928 25.1097 1.86686 30.0059
471 2.11062 8.91307 1.92311 12.9468
472 14.1199 14.8389 8.89403 37.8529
473 2.21456 30.998 4.53658 37.7491
474 2.66722 9.42154 6.30224 18.391
475 10.6752 7.78823 2.12642 20.5899
476 11.3547 16.3366 9.75671 37.448
477 34.9729 1.53847 88.509 125.02
478 1.79266 3.78433 6.17067 11.7477
479 13.5002 24.4787 3.8366 41.8155
480 2.69235 6.54586 3.08635 12.3246
481 43.968 11.0782 3.26784 58.3141
482 3.61053 0.621085 1.543 5.77462
483 2.14668 1.49964 1.59838 5.24469
484 1.94583 6.39373 7.29094 15.6305
485 9.36352 3.00556 14.0851 26.4542
